condition,n_drugs_active,mean_spearman_active,n_drugs_silent,mean_spearman_silent
full,118,0.2988776325691914,20,0.11041979356343515
ChEMBL_off,118,0.2873836876115367,20,0.11041979356343515
DRKG_off,118,0.29888599367333496,20,0.11041979356343515
PrimeKG_off,118,0.28941850563182087,20,0.11041979356343515
all_off,118,0.2358267847597643,20,0.11041979356343515
