DRUG_ID,DRUG_NAME,drug_key,canonical_smiles,smiles,inchikey,pubchem_cid,has_ChEMBL,has_DRKG,has_PrimeKG
548,5-fluorouracil,BRD-K24844714-001-24-5,O=c1[nH]cc(F)c(=O)[nH]1,Fc1c[nH]c(=O)[nH]c1=O,GHASVSINZRGABV-UHFFFAOYSA-N,,1,0,0
549,CNX-2006,BRD-K24869513-001-02-1,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC4CN(CCF)C4)cc3OC)ncc2C(F)(F)F)c1,COc1cc(NC2CN(CCF)C2)ccc1Nc1ncc(c(Nc2cccc(NC(=O)C=C)c2)n1)C(F)(F)F,BFSRTTWIPACGMI-UHFFFAOYSA-N,,0,0,0
550,pirenperone,BRD-K25224017-001-25-0,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,Cc1nc2ccccn2c(=O)c1CCN1CCC(CC1)C(=O)c1ccc(F)cc1,HXCNRYXBZNHDNE-UHFFFAOYSA-N,,0,0,0
551,apatinib,BRD-K25244359-066-03-4,N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,O=C(Nc1ccc(cc1)C1(CCCC1)C#N)c1cccnc1NCc1ccncc1,WPEWQEMJFLWMLV-UHFFFAOYSA-N,,0,0,0
552,MK-8745,BRD-K25279140-001-01-5,O=C(c1cccc(Cl)c1F)N1CCN(Cc2cccc(Nc3nccs3)n2)CC1,Fc1c(Cl)cccc1C(=O)N1CCN(Cc2cccc(Nc3nccs3)n2)CC1,YCRFPWKUUNKNDN-UHFFFAOYSA-N,,0,0,0
553,OSI-930,BRD-K25340465-001-11-1,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,FC(F)(F)Oc1ccc(NC(=O)c2sccc2NCc2ccnc3ccccc23)cc1,FGTCROZDHDSNIO-UHFFFAOYSA-N,,1,0,1
554,GSK2110183,BRD-K25412176-001-01-9,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,Cn1ncc(Cl)c1-c1cc(sc1Cl)C(=O)N[C@H](CN)Cc1cccc(F)c1,AFJRDFWMXUECEW-LBPRGKRZSA-N,,1,0,0
555,maprotiline,BRD-K25433859-003-25-4,CNCCCC12CCC(c3ccccc31)c1ccccc12,CNCCCC12CCC(c3ccccc13)c1ccccc21,QSLMDECMDJKHMQ-UHFFFAOYSA-N,,1,0,1
556,JNJ-16259685,BRD-K25596805-001-01-8,CO[C@H]1CC[C@@H](C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1,CO[C@H]1CC[C@H](CC1)C(=O)c1ccc2nc3OCCCc3cc2c1,QOTAQTRFJWLFCR-XFHMXUHZSA-N,,0,0,0
557,LY2784544,BRD-K25630527-001-03-8,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1,SQSZANZGUXWJEA-UHFFFAOYSA-N,,1,0,0
558,4-iodo-6-phenylpyrimidine,BRD-K25690923-001-02-4,Ic1cc(-c2ccccc2)ncn1,Ic1cc(ncn1)-c1ccccc1,ZTCJXHNJVLUUMR-UHFFFAOYSA-N,,0,0,0
559,PRT062070,BRD-K25835157-001-01-4,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,CCS(=O)(=O)N1CCN(CC1)c1ccc(Nc2ncc(C(N)=O)c(NC3CC3)n2)cc1,BGLPECHZZQDNCD-UHFFFAOYSA-N,,1,0,0
560,josamycin,BRD-K25837718-001-03-8,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(OC(=O)CC(C)C)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC(=O)CC(C)C)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O,UKNSBNVKSFTZOJ-NGVXBBESSA-N,,1,0,0
561,licochalcone-a,BRD-K26011976-001-01-0,C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)cc1O,COc1cc(O)c(cc1C=CC(=O)c1ccc(O)cc1)C(C)(C)C=C,KAZSKMJFUPEHHW-UHFFFAOYSA-N,,0,0,0
562,tucatinib,BRD-K26026438-001-01-0,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,SDEAXTCZPQIFQM-UHFFFAOYSA-N,,1,0,1
563,NMS-873,BRD-K26253904-001-01-5,Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1-c1ccc(S(C)(=O)=O)cc1,Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1-c1ccc(cc1)S(C)(=O)=O,UJGTUKMAJVCBIS-UHFFFAOYSA-N,,0,0,0
