DRUG_NAME,drug_id,target,expected_cancer,cancer_group,n_cells,delta_auc_mean,delta_auc_std,baseline_spearman,ko_spearman,delta_spearman,mean_auc,alpha_PrimeKG_mean,alpha_ChEMBL_mean,is_expected
Trametinib,1372,MAP2K1/MAP2K2,Skin,Colorectal,48,-0.021848584,0.04865433,0.6705384281372123,0.6506730351715154,0.019865392965696893,0.6430751666666666,0.5728841964583333,0.42711580708333335,False
Trametinib,1372,MAP2K1/MAP2K2,Skin,Haematological,138,-0.051651284,0.06712213,0.6563551326123569,0.7231103099743631,-0.0667551773620062,0.8469884782608695,0.5862717838405797,0.4137282238405797,False
Trametinib,1372,MAP2K1/MAP2K2,Skin,Breast,50,-0.019629918,0.031216433,0.5038655462184873,0.5536134453781512,-0.04974789915966382,0.91267818,0.5641999944,0.4358000158,False
Crizotinib,1083,ALK/MET,Lung,Skin,54,-0.017466763,0.0156006925,0.2539736992567181,0.4019439679817038,-0.1479702687249857,0.9141168518518519,0.5988974733333334,0.4011025398148149,False
Crizotinib,1083,ALK/MET,Lung,Other,465,-0.009228587,0.021330453,0.4625781425342749,0.4014303805271471,0.06114776200712785,0.8971911677419355,0.5749792564731183,0.42502074984946236,False
Crizotinib,1083,ALK/MET,Lung,Pancreatic,30,-0.0035065075,0.013251277,0.5506117908787541,0.6747497219132369,-0.12413793103448278,0.9450913333333334,0.5476259403333333,0.452374071,False
Crizotinib,1083,ALK/MET,Lung,Lung,156,-0.0019521496,0.019665562,0.35728216718559846,0.33546174392691747,0.021820423258681,0.8903369423076922,0.5732740283974359,0.4267259782051282,True
Crizotinib,1083,ALK/MET,Lung,Colorectal,48,-0.007620912,0.017434305,0.35518888406426397,0.37288319583152413,-0.017694311767260162,0.8702241041666667,0.5688594789583333,0.43114053041666667,False
Crizotinib,1083,ALK/MET,Lung,Haematological,138,-0.021864807,0.030609412,0.33031194847359174,0.22485267894855804,0.1054592695250337,0.8166535144927536,0.5928676814492754,0.40713232159420293,False
Crizotinib,1083,ALK/MET,Lung,Breast,50,-0.012534609,0.020628858,0.2790396158463385,0.36076830732292914,-0.08172869147659062,0.9312727599999999,0.5590273366,0.4409726704,False
Talazoparib,1259,PARP1/PARP2,Breast,Skin,54,-0.039168596,0.02177989,0.5952734896131122,0.6042691061558985,-0.008995616542786244,0.904187888888889,0.5353673662962963,0.464632647037037,False
Talazoparib,1259,PARP1/PARP2,Breast,Other,462,-0.032278415,0.025604276,0.42485925406892594,0.2993790214783796,0.12548023259054636,0.8512961212121213,0.501250654004329,0.4987493514069264,False
Talazoparib,1259,PARP1/PARP2,Breast,Pancreatic,30,-0.028732795,0.020240866,0.31790878754171303,0.02469410456062291,0.2932146829810901,0.9236206333333333,0.47023089,0.5297691176666667,False
Talazoparib,1259,PARP1/PARP2,Breast,Lung,154,-0.02942381,0.02253586,0.4500932337744482,0.1810640971931295,0.2690291365813187,0.8605779025974026,0.4996306283116883,0.5003693753896103,False
Talazoparib,1259,PARP1/PARP2,Breast,Colorectal,46,-0.03364934,0.023762433,0.29053345667591735,0.19740980573543015,0.09312365094048719,0.9012114999999998,0.4899855191304348,0.5100144954347826,False
Talazoparib,1259,PARP1/PARP2,Breast,Breast,50,-0.039485756,0.026383454,0.3729651860744298,0.44441776710684266,-0.07145258103241287,0.9260808199999999,0.4799554798,0.5200445306,True
Talazoparib,1259,PARP1/PARP2,Breast,Haematological,135,-0.043189947,0.041703437,0.4364403472831919,0.1493512828016779,0.28708906448151406,0.6990300814814814,0.5176140785925927,0.48238593037037036,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Skin,50,-0.007447636,0.009531484,0.2457142857142857,0.39985594237695077,-0.15414165666266508,0.9776574200000002,0.6442527072,0.35574730200000004,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Other,428,0.00060276815,0.015514961,0.2502799885222788,0.261353181113095,-0.011073192590816239,0.9661327546728972,0.6211584009345795,0.37884160757009344,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Pancreatic,30,0.0043544592,0.008743648,0.44560622914349274,0.38954393770856505,0.05606229143492769,0.9790656666666668,0.6001781230000002,0.39982188266666674,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Lung,141,0.0037832945,0.01178311,0.293432938053855,0.2860310800976069,0.007401857956248092,0.9635096595744681,0.6267747919148936,0.3732252142553192,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Colorectal,48,0.009711683,0.015081314,0.29928354320451583,0.20625271385149804,0.09303082935301779,0.9698779999999999,0.6333732818750001,0.36662672187499995,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Haematological,133,-0.012018904,0.024840696,0.16467410640859026,0.2014774914018678,-0.03680338499327754,0.9499407969924811,0.6559509898496241,0.3440490160902256,True
Ruxolitinib,1507,JAK1/JAK2,Haematological,Breast,45,0.0075465334,0.010180451,0.1212121212121212,0.14005270092226613,-0.018840579710144925,0.9726981777777779,0.616266054,0.3837339531111112,False
Cisplatin,1005,DNA,Bladder,Skin,31,0.06984362,0.02548887,0.38870967741935486,0.3483870967741936,0.040322580645161255,0.9326058064516127,0.4528617519354839,0.5471382480645163,False
Cisplatin,1005,DNA,Bladder,Pancreatic,30,0.061027814,0.029313736,0.3281423804226919,0.403781979977753,-0.07563959955506111,0.9509419333333333,0.4164261456666667,0.5835738626666667,False
Cisplatin,1005,DNA,Bladder,Other,364,0.05119066,0.044226125,0.5017094984716404,0.41739903931684746,0.0843104591547929,0.9170438296703296,0.44536096173076917,0.5546390464835165,False
Cisplatin,1005,DNA,Bladder,Lung,115,0.0585733,0.02747369,0.2677108814014046,0.2332044504063758,0.034506430995028786,0.9275352000000002,0.45777457,0.5422254393913043,False
Cisplatin,1005,DNA,Bladder,Colorectal,43,0.09029128,0.025139771,0.4421624886741166,0.33871942011476897,0.10344306855934765,0.9444838372093024,0.48085377790697675,0.5191462260465116,False
Cisplatin,1005,DNA,Bladder,Haematological,109,-0.016849596,0.06736536,0.4189509776665741,0.34296172736539715,0.07598925030117692,0.8569883577981651,0.4902311373394496,0.5097688652293578,False
Cisplatin,1005,DNA,Bladder,Breast,51,0.060127184,0.023713363,0.2784615384615384,0.5232579185520362,-0.24479638009049776,0.9636315098039215,0.45605187705882355,0.5439481350980393,False
Cytarabine,1006,DNA_polymerase,Haematological,Skin,31,0.014037338,0.054252632,0.590725806451613,0.5830645161290323,0.007661290322580672,0.8768258387096775,0.6011337129032259,0.3988663022580645,False
Cytarabine,1006,DNA_polymerase,Haematological,Pancreatic,29,-0.013901166,0.046443503,0.7822660098522166,0.6182266009852215,0.16403940886699508,0.9171872758620689,0.5963253000000001,0.403674695862069,False
Cytarabine,1006,DNA_polymerase,Haematological,Other,362,-0.0022516248,0.07436523,0.6901050123506569,0.6099543519973836,0.08015066035327334,0.8872335773480663,0.6176914105248619,0.3823085963259668,False
Cytarabine,1006,DNA_polymerase,Haematological,Lung,111,0.010298287,0.0577036,0.7078711828711829,0.5928483678483677,0.1150228150228152,0.9034098198198198,0.6273362146846846,0.3726637906306306,False
Cytarabine,1006,DNA_polymerase,Haematological,Colorectal,42,0.002305756,0.051719252,0.7603111579288551,0.7011587391621424,0.05915241876671262,0.8809852857142857,0.6443827411904761,0.3556172671428572,False
Cytarabine,1006,DNA_polymerase,Haematological,Haematological,106,-0.09785621,0.08936305,0.6621407159231176,0.2932463410333274,0.3688943748897902,0.6674483773584904,0.6492519196226416,0.3507480929245283,True
Cytarabine,1006,DNA_polymerase,Haematological,Breast,45,0.04390279,0.05981066,0.5635890513285047,0.49711782364990015,0.06647122767860453,0.9339312222222222,0.6312112646666667,0.3687887464444444,False
