cancer_type,target_gene,n_cells,mean_delta_auc,frac_sensitising
Acute Myeloid Leukemia,GABRE,7,7.236447709146887e-05,0.3923636121115113
Acute Myeloid Leukemia,CPE,7,7.167881319349232e-05,0.3339902627717754
Acute Myeloid Leukemia,PLEK2,7,7.14340161331555e-05,0.34449557600818104
Acute Myeloid Leukemia,TSPAN1,7,7.035896591592714e-05,0.31101690676270505
Acute Myeloid Leukemia,SEMA3C,7,6.992658823686984e-05,0.47421329642968296
Acute Myeloid Leukemia,MMP14,7,6.924785788799324e-05,0.38480058690142727
Acute Myeloid Leukemia,GNG12,7,6.859653668860639e-05,0.3528508625672491
Acute Myeloid Leukemia,GPX8,7,6.794953930823664e-05,0.3255705059801698
Acute Myeloid Leukemia,EHD2,7,6.684684116667736e-05,0.3216036414565826
Acute Myeloid Leukemia,C15orf48,7,6.675761817729966e-05,0.2944155439953759
Acute Myeloid Leukemia,FOS,7,6.673030994923985e-05,0.3503198501622871
Acute Myeloid Leukemia,C19orf33,7,6.616476223695957e-05,0.3038890556222489
Acute Myeloid Leukemia,CAPG,7,6.559079130446272e-05,0.49050397936952556
Acute Myeloid Leukemia,MYL9,7,6.501026902177338e-05,0.3446528611444578
Acute Myeloid Leukemia,CXCL1,7,6.428056323264692e-05,0.29554377306478147
Acute Myeloid Leukemia,LYZ,7,6.348414470786728e-05,0.29312780667822685
Acute Myeloid Leukemia,BEX4,7,6.27581723944916e-05,0.39365940820772755
Acute Myeloid Leukemia,TESC,7,6.21101119447433e-05,0.42130741185363035
Acute Myeloid Leukemia,PDLIM4,7,6.210810793813184e-05,0.38184996220710504
Acute Myeloid Leukemia,ARHGDIB,7,6.166193241239983e-05,0.39769379974211905
Acute Myeloid Leukemia,CCDC80,7,6.160267158910366e-05,0.2543623004757459
Acute Myeloid Leukemia,RAB32,7,6.132677455233144e-05,0.36283318883108795
Acute Myeloid Leukemia,VIM,7,6.112865022649723e-05,0.3289743675247877
Acute Myeloid Leukemia,PLOD2,7,5.999262793920934e-05,0.4088643790849673
Acute Myeloid Leukemia,CD37,7,5.999134373269044e-05,0.38392245787203766
Acute Myeloid Leukemia,CDCP1,7,5.922713171457872e-05,0.3110760971055089
Acute Myeloid Leukemia,CLDN7,7,5.911806459023085e-05,0.28076814058956917
Acute Myeloid Leukemia,G0S2,7,5.8535224005546684e-05,0.31921768707482995
Acute Myeloid Leukemia,IFI16,7,5.852700659098835e-05,0.32666983460050686
Acute Myeloid Leukemia,TSTD1,7,5.843510942733181e-05,0.3889041727802232
Acute Myeloid Leukemia,MRC2,7,5.78805093464244e-05,0.42721977679960876
Acute Myeloid Leukemia,SCNN1A,7,5.771314925238714e-05,0.2954426214930416
