cancer_type,gene_name,mean_delta_auc
AML,BCL2,-0.008023420232348144
AML,KIT,-0.0013723118075480063
Breast,CCND1,0.0003962435681993763
Breast,EGFR,-0.00029087159782648087
Breast,ERBB2,-0.008486427017487586
Colorectal,EGFR,0.00015720476706822714
Melanoma,CDKN2A,0.004407197951271276
NSCLC,EGFR,-0.0029521887578691044
NSCLC,ERBB2,-0.010202960421641668
NSCLC,MET,-0.0005272637354210019
