DRUG_NAME,DRUG_ID,cancer_group,n_cells,mean_AUC,mean_auc_hat,alpha_ChEMBL,alpha_PrimeKG,n_sensitive_pred,pct_sensitive
AZD8055,1059,Other,358,0.7797508016759775,0.8921727590223464,0.0,0.0,0,0.0
AZD8055,1059,Breast,49,0.787208693877551,0.8929151063265307,0.0,0.0,0,0.0
AZD8055,1059,Lung,109,0.8093467798165138,0.8978307682568807,0.0,0.0,0,0.0
AZD8055,1059,Pancreatic,28,0.8122648928571429,0.9071310196428571,0.0,0.0,0,0.0
AZD8055,1059,Colorectal,47,0.8132769361702128,0.9106073823404255,0.0,0.0,0,0.0
Alpelisib,1560,Haematological,139,0.9410943884892086,0.8831334364748201,0.481009348705036,0.5189906573381294,2,0.014388489208633094
Alpelisib,1560,Breast,50,0.88746402,0.8856243204,0.5274821615999999,0.4725178416,0,0.0
Alpelisib,1560,Other,464,0.9258940905172415,0.8892629969612069,0.5124373655818966,0.48756264032327584,0,0.0
Alpelisib,1560,Pancreatic,30,0.9494751666666666,0.8983137753333333,0.5433832483333333,0.4566167633333333,0,0.0
Alpelisib,1560,Lung,155,0.9347562645161291,0.8985964832258064,0.5124901436129032,0.4875098628387097,0,0.0
Alpelisib,1560,Skin,54,0.9490241666666667,0.9043646474074074,0.4825307974074074,0.5174692092592592,0,0.0
Alpelisib,1560,Colorectal,48,0.9306221875,0.9055920291666667,0.5115181543749999,0.4884818533333333,0,0.0
BMS-345541,1249,Haematological,132,0.8721346363636364,0.8378106674242424,0.0,0.0,0,0.0
BMS-345541,1249,Other,427,0.9105340515222483,0.8790631258079625,0.0,0.0,0,0.0
BMS-345541,1249,Lung,141,0.9101653191489363,0.8857625494326241,0.0,0.0,0,0.0
BMS-345541,1249,Skin,50,0.9168970000000001,0.886021718,0.0,0.0,0,0.0
BMS-345541,1249,Colorectal,48,0.9087425625,0.8930964895833333,0.0,0.0,0,0.0
BMS-345541,1249,Breast,45,0.9344297555555556,0.9003081788888889,0.0,0.0,0,0.0
BMS-345541,1249,Pancreatic,26,0.9229911538461538,0.9063991646153846,0.0,0.0,0,0.0
BMS-754807,2171,Haematological,134,0.7565966194029852,0.8514754755970149,1.0,0.0,10,0.07462686567164178
BMS-754807,2171,Other,457,0.8146492341356674,0.8965714715317287,1.0,0.0,1,0.002188183807439825
BMS-754807,2171,Lung,155,0.8007223032258065,0.9099286948387096,1.0,0.0,0,0.0
BMS-754807,2171,Breast,50,0.8904108399999999,0.9126456435999999,1.0,0.0,0,0.0
BMS-754807,2171,Colorectal,48,0.7057899583333334,0.9159830154166667,1.0,0.0,0,0.0
BMS-754807,2171,Pancreatic,28,0.8711187499999999,0.9223198832142857,1.0,0.0,0,0.0
BMS-754807,2171,Skin,53,0.9089987924528301,0.9225216445283019,1.0,0.0,0,0.0
Buparlisib,1873,Haematological,136,0.7032287720588235,0.8379061442647059,1.0,0.0,12,0.08823529411764706
Buparlisib,1873,Other,463,0.7502582159827214,0.8695163202591792,1.0,0.0,10,0.02159827213822894
Buparlisib,1873,Skin,54,0.7875446481481482,0.8768268027777778,1.0,0.0,0,0.0
Buparlisib,1873,Lung,154,0.7693947532467532,0.8927901519480519,1.0,0.0,0,0.0
Buparlisib,1873,Breast,50,0.7540392199999999,0.8928306772000001,1.0,0.0,0,0.0
Buparlisib,1873,Pancreatic,30,0.7814935333333334,0.897537559,1.0,0.0,0,0.0
Buparlisib,1873,Colorectal,46,0.7559279782608695,0.8999141178260869,1.0,0.0,0,0.0
CCT007093,1067,Haematological,135,0.986079762962963,0.8139307705925926,0.0,0.0,1,0.007407407407407408
CCT007093,1067,Other,451,0.9750332372505542,0.8523973693348116,0.0,0.0,0,0.0
