GDSC_DRUG_ID,DRUG_ID,DRUG_NAME,canonical_name,SMILES,canonical_SMILES,InChIKey,ChEMBL_node_id,has_ChEMBL,graph_degree_ChEMBL,source_weight_ChEMBL,DRKG_node_id,has_DRKG,graph_degree_DRKG,source_weight_DRKG,PrimeKG_node_id,has_PrimeKG,graph_degree_PrimeKG,source_weight_PrimeKG,n_cells,spearman,pcc,mean_auc_hat,mean_AUC,coverage_group,total_kg_degree,is_focal,alpha_ChEMBL,alpha_DRKG,alpha_PrimeKG
1192,1192,GSK269962A,gsk269962a,CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,YOVNFNXUCOWYSG-UHFFFAOYSA-N,234,0,0.0,0.0,235,0,0.0,0.0,236,0,0.0,0.0,260.0,0.16965888827308032,0.14141606619678188,0.925407546923077,0.8558372153846153,No KG,0.0,False,0.0,0.0,0.0
1200,1200,Fulvestrant,fulvestrant,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,VWUXBMIQPBEWFH-UHFFFAOYSA-N,243,1,22.0,1.0,244,0,0.0,0.0,245,1,156.0,1.0,938.0,-0.15913178525054272,-0.1538394644730784,0.871305389413646,0.9788659189765458,ChEMBL+PrimeKG,178.0,False,0.5271286229317698,0.0,0.4728713835820896
1243,1243,Piperlongumine,piperlongumine,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O,COc1cc(C=CC(=O)N2CCC=CC2=O)cc(OC)c1OC,VABYUUZNAVQNPG-UHFFFAOYSA-N,252,0,0.0,0.0,253,0,0.0,0.0,254,0,0.0,0.0,217.0,0.4078200087374399,0.46397322634949967,0.9063772388940093,0.8464459124423963,No KG,0.0,False,0.0,0.0,0.0
1249,1249,BMS-345541,bms 345541,CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN.Cl,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1.Cl,MIDKPVLYXNLFGZ-UHFFFAOYSA-N,258,0,0.0,0.0,259,0,0.0,0.0,260,0,0.0,0.0,869.0,0.5530334436435225,0.5292241836587254,0.8769774982968929,0.906518669735328,No KG,0.0,False,0.0,0.0,0.0
1259,1259,Talazoparib,talazoparib,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,Cn1ncnc1C1c2n[nH]c(=O)c3cc(F)cc(c23)NC1c1ccc(F)cc1,HWGQMRYQVZSGDQ-UHFFFAOYSA-N,264,1,16.0,1.0,265,0,0.0,0.0,266,1,8.0,1.0,931.0,0.45582946896594256,0.43600397396877244,0.8822399067132115,0.8426330837808808,ChEMBL+PrimeKG,24.0,True,0.4973655365735768,0.0,0.5026344703222342
1268,1268,XAV939,xav939,C1CSCC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,KLGQSVMIPOVQAX-UHFFFAOYSA-N,267,0,0.0,0.0,268,0,0.0,0.0,269,0,0.0,0.0,870.0,0.21648200074581994,0.23033784169843652,0.9396462583103449,0.9579638310344828,No KG,0.0,False,0.0,0.0,0.0
1372,1372,Trametinib,trametinib,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,270,1,12.0,1.0,271,0,0.0,0.0,272,1,52.0,1.0,941.0,0.6739413609195606,0.7247278121429325,0.9057225574388948,0.8287636631243357,ChEMBL+PrimeKG,64.0,True,0.424805214367694,0.0,0.5751947927205101
1401,1401,AZD5438,azd5438,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)C,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,WJRRGYBTGDJBFX-UHFFFAOYSA-N,282,1,12.0,1.0,283,0,0.0,0.0,284,0,0.0,0.0,698.0,0.3782427800977767,0.43555337932301375,0.8715404918051575,0.8409002765042979,ChEMBL only,12.0,False,1.0,0.0,0.0
1449,1449,AZD1208,azd1208,C1CC(CN(C1)C2=C(C=CC=C2C3=CC=CC=C3)C=C4C(=O)NC(=O)S4)N,NC1CCCN(c2c(C=C3SC(=O)NC3=O)cccc2-c2ccccc2)C1,MCUJKPPARUPFJM-UHFFFAOYSA-N,291,1,12.0,1.0,292,0,0.0,0.0,293,0,0.0,0.0,697.0,-0.016619901106220313,0.04276384873326505,0.788279310989957,0.9753239956958394,ChEMBL only,12.0,False,1.0,0.0,0.0
1463,1463,AZD1332,azd1332,CC(C)OC1=NNC(=C1)NC2=NC(=NC=C2Cl)NC(C)C3=NC=C(C=C3)F,CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)ncc2Cl)[nH]n1,LBVKEEFIPBQIMD-UHFFFAOYSA-N,294,0,0.0,0.0,295,0,0.0,0.0,296,0,0.0,0.0,698.0,0.3939103157706121,0.38532554379986034,0.8909001466189113,0.9216587607449857,No KG,0.0,False,0.0,0.0,0.0
1494,1494,SN-38,sn 38,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)O,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,FJHBVJOVLFPMQE-UHFFFAOYSA-N,297,1,6.0,1.0,298,0,0.0,0.0,299,1,30.0,1.0,933.0,0.6198011452828699,0.45060134860315937,0.783396410664523,0.7588175080385852,ChEMBL+PrimeKG,36.0,False,0.5086084181672026,0.0,0.49139158729903537
1507,1507,Ruxolitinib,ruxolitinib,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,HFNKQEVNSGCOJV-UHFFFAOYSA-N,303,1,22.0,1.0,304,0,0.0,0.0,305,1,116.0,1.0,875.0,0.22545726142204137,0.17408211334623974,0.9176952608571428,0.9648939542857142,ChEMBL+PrimeKG,138.0,True,0.3716292737257143,0.0,0.6283707336228572
1512,1512,Cyclophosphamide,cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,O=P1(N(CCCl)CCCl)NCCCO1,CMSMOCZEIVJLDB-UHFFFAOYSA-N,312,1,6.0,1.0,313,0,0.0,0.0,314,1,342.0,1.0,932.0,0.011287141795207052,-0.03310959767172172,0.8575436060407726,0.9772418100858369,ChEMBL+PrimeKG,348.0,False,0.6317161954184549,0.0,0.36828381223175966
