coverage_group,n_drugs,spearman_mean,spearman_std,pcc_mean,pcc_std,alpha_ChEMBL_mean,alpha_PrimeKG_mean
ChEMBL only,7,0.31750499838137347,0.18612048203589626,0.3213082910907013,0.2007972242611054,1.0,0.0
ChEMBL+PrimeKG,16,0.3464317713996393,0.27014465881837685,0.3396866915008705,0.27261682195314185,0.47598714153209193,0.5240128651604546
No KG,26,0.3377253986352456,0.22668443715326303,0.35371294474572124,0.24413323650803254,0.0,0.0
