DRUG_ID,DRUG_NAME,n_cells,delta_auc_mean,delta_auc_std,delta_auc_abs_mean,baseline_spearman,ko_spearman,delta_spearman,has_ChEMBL,has_PrimeKG,graph_degree_ChEMBL,graph_degree_PrimeKG
1839,615590,698,0.0,0.0,0.0,-0.060678012596928586,-0.060678012596928586,0.0,,,,
1873,Buparlisib,933,0.011559378,0.042920344,0.033864208,0.4668220712374413,0.5160769211439137,-0.04925484990647239,1.0,0.0,6.0,0.0
1908,Ulixertinib,933,0.0,0.0,0.0,0.6141059548721544,0.6141059548721544,0.0,0.0,0.0,0.0,0.0
1909,Venetoclax,933,-0.059632704,0.04297144,0.06002949,0.4538785997905594,0.5232592295860435,-0.06938062979548415,1.0,1.0,12.0,16.0
1919,Osimertinib,932,-0.061574563,0.03265504,0.06157796,0.3210041573645688,0.14338894083378373,0.17761521653078505,1.0,1.0,6.0,22.0
1927,GSK2578215A,933,0.0,0.0,0.0,0.16111246409925653,0.16111246409925653,0.0,0.0,0.0,0.0,0.0
1936,Savolitinib,932,0.01002966,0.04345024,0.03433511,0.14734757712797025,0.00746629448466126,0.13988128264330899,1.0,0.0,6.0,0.0
1996,MIM1,726,0.0,0.0,0.0,0.3107934984426409,0.3107934984426409,0.0,0.0,0.0,0.0,0.0
1999,N25720-51-A1,725,0.0,0.0,0.0,0.4301181785154885,0.4301181785154885,0.0,,,,
2011,ICL-SIRT078,723,0.0,0.0,0.0,0.21938539871165036,0.21938539871165036,0.0,0.0,0.0,0.0,0.0
2037,GSK343,724,0.0,0.0,0.0,0.11093726693594486,0.11093726693594486,0.0,,,,
2039,AGK2,909,0.0,0.0,0.0,0.22948665775208482,0.22948665775208482,0.0,0.0,0.0,0.0,0.0
2057,Remodelin,362,0.0,0.0,0.0,-0.18590988748726442,-0.18590988748726442,0.0,0.0,0.0,0.0,0.0
2096,VX-11e,929,0.0,0.0,0.0,0.5664705127224022,0.5664705127224022,0.0,0.0,0.0,0.0,0.0
2110,GSK591,929,0.0,0.0,0.0,0.20528914445797844,0.20528914445797844,0.0,0.0,0.0,0.0,0.0
2171,BMS-754807,925,-0.054591946,0.040214706,0.054871205,0.45569923157342634,0.3795644729254571,0.07613475864796926,1.0,0.0,22.0,0.0
2172,JQ1,925,0.0,0.0,0.0,0.7172216595055646,0.7172216595055646,0.0,0.0,0.0,0.0,0.0
