DRUG_NAME,drug_id,target,expected_cancer,cancer_group,n_cells,delta_auc_mean,delta_auc_std,baseline_spearman,ko_spearman,is_expected
Talazoparib,1259,PARP1/PARP2,Breast,Breast,50,-2.2069216e-05,3.7813596e-05,0.3729651860744298,0.3729651860744298,True
Talazoparib,1259,PARP1/PARP2,Breast,Haematological,135,-2.0349025e-05,4.7577407e-05,0.4364403472831919,0.43657204175202424,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Skin,50,0.0003959441,0.00023526218,0.2457142857142857,0.24072028811524607,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Other,428,0.0004098726,0.00026870475,0.2502799885222788,0.24936141877738563,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Pancreatic,30,0.00023556352,0.00015815564,0.44560622914349274,0.44560622914349274,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Lung,141,0.0003455539,0.00020320276,0.29304764758765356,0.29322316880003424,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Colorectal,48,0.00023843224,0.00025039553,0.29928354320451583,0.29928354320451583,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Haematological,133,0.00039901948,0.0003277708,0.16467410640859026,0.1635034374056856,True
Ruxolitinib,1507,JAK1/JAK2,Haematological,Breast,45,0.0004388253,0.00025124,0.1212121212121212,0.12569169960474308,False
Cisplatin,1005,DNA,Bladder,Skin,31,1.9215768e-05,4.267771e-05,0.38870967741935486,0.38870967741935486,False
Cisplatin,1005,DNA,Bladder,Pancreatic,30,1.8123787e-05,3.8899656e-05,0.3281423804226919,0.3281423804226919,False
Cisplatin,1005,DNA,Bladder,Other,364,2.6158743e-05,4.9364586e-05,0.5017094984716404,0.5014191288163891,False
Cisplatin,1005,DNA,Bladder,Lung,115,3.935565e-05,4.0070772e-05,0.2677108814014046,0.2670559457113549,False
Cisplatin,1005,DNA,Bladder,Colorectal,43,2.4862067e-05,3.3997654e-05,0.4421624886741166,0.4421624886741166,False
Cisplatin,1005,DNA,Bladder,Haematological,109,-3.0285175e-05,5.7263675e-05,0.4189509776665741,0.4182374200722825,False
Cisplatin,1005,DNA,Bladder,Breast,51,4.888516e-05,3.876021e-05,0.2784615384615384,0.2798190045248869,False
Cytarabine,1006,DNA_polymerase,Haematological,Skin,31,1.6347054e-05,4.934039e-05,0.590725806451613,0.5971774193548388,False
Cytarabine,1006,DNA_polymerase,Haematological,Pancreatic,29,-9.187337e-07,6.741127e-05,0.7822660098522166,0.7822660098522166,False
Cytarabine,1006,DNA_polymerase,Haematological,Other,362,1.9383035e-06,8.663233e-05,0.6901050123506569,0.6903144666179429,False
Cytarabine,1006,DNA_polymerase,Haematological,Lung,111,-1.4149391e-06,7.928543e-05,0.7078711828711829,0.7079238329238329,False
Cytarabine,1006,DNA_polymerase,Haematological,Colorectal,42,-6.8119593e-06,6.150654e-05,0.7603111579288551,0.7603111579288551,False
Cytarabine,1006,DNA_polymerase,Haematological,Haematological,106,-5.510112e-05,0.000103251085,0.6621407159231176,0.6621407159231176,True
Cytarabine,1006,DNA_polymerase,Haematological,Breast,45,-1.6591284e-05,7.903922e-05,0.5635890513285047,0.5635890513285047,False
