gene_name,DRUG_NAME,drug_family,n_cells,mean_delta_auc,abs_mean_delta,std_delta_auc,is_known_target,is_family_drug
EGFR,AZD5582,background,167,0.00255918363109231,0.003422971349209547,0.0038282673340290785,False,False
EGFR,GSK3337463A,background,132,1.7151236534118652e-05,0.0010462001664564013,0.0012681704247370362,False,False
EGFR,VE-822,background,170,0.0025893256533890963,0.0027099219150841236,0.0022832003887742758,False,False
EGFR,Entospletinib,background,170,0.0009051505476236343,0.0011466980213299394,0.0011260054307058454,False,False
EGFR,Schweinfurthin A,background,131,0.00246047368273139,0.0027690473943948746,0.002278533298522234,False,False
EGFR,VE821,background,186,0.0013866751687601209,0.0015485606854781508,0.0012916066916659474,False,False
EGFR,615590,background,132,1.7151236534118652e-05,0.0010462001664564013,0.0012681704247370362,False,False
EGFR,Mitoxantrone,background,132,0.004537200555205345,0.004591778386384249,0.003205817425623536,False,False
EGFR,VTP-A,background,145,2.365112231927924e-05,0.0010214723879471421,0.0012466688640415668,False,False
EGFR,KRAS (G12C) Inhibitor-12,background,170,0.0006166748935356736,0.0011859715450555086,0.0013148592552170157,False,False
ERBB2,Erlotinib,EGFR_inhibitors,185,-0.007007347419857979,0.007008626125752926,0.004883588291704655,False,True
ERBB2,Venetoclax,BCL2_inhibitors,186,-0.0050842901691794395,0.005124501418322325,0.004425926599651575,False,True
ERBB2,Alpelisib,PI3K_inhibitors,187,-0.003759229788556695,0.004125609528273344,0.0028815176337957382,False,True
ERBB2,Rucaparib,PARP_inhibitors,189,-0.0031323800794780254,0.003160791704431176,0.0018358301604166627,False,True
ERBB2,Navitoclax,BCL2_inhibitors,190,-0.01221109926700592,0.01221109926700592,0.0069790310226380825,False,True
ERBB2,Buparlisib,PI3K_inhibitors,186,-0.0005703936913050711,0.002756171626970172,0.003271837718784809,False,True
ERBB2,Trametinib,MEK_inhibitors,189,0.002938789315521717,0.006393949966877699,0.009652240201830864,False,True
ERBB2,Rapamycin,MTOR_inhibitors,185,-0.0033985415939241648,0.003946530632674694,0.003322225995361805,False,True
ERBB2,Selumetinib,MEK_inhibitors,322,0.0006217659683898091,0.004070717375725508,0.006509905215352774,False,True
ERBB2,Olaparib,PARP_inhibitors,189,-0.0017151832580566406,0.0023877727799117565,0.0023506153374910355,False,True
ERBB2,Temsirolimus,MTOR_inhibitors,180,-0.004626479931175709,0.005169187672436237,0.004412200767546892,False,True
ERBB2,Gefitinib,EGFR_inhibitors,186,-0.005350942257791758,0.005359041970223188,0.0031972506549209356,False,True
