gene_name,family,mean_within_family,mean_cross_family,fold_enrichment,t_stat,p_value
BCL2,BCL2_inhibitors,0.009454149287194014,0.0025861550847449425,3.6542646178963256,13.81205856432348,6.627213716696468e-18
ERBB2,EGFR_inhibitors,0.007871994283050299,0.004629438401871296,1.7000537745775852,1.8167328359331965,0.03803681934876734
EGFR,EGFR_inhibitors,0.0024900635859618583,0.0018852490614991375,1.3201138899349942,0.9522870590618217,0.17307682755470755
CDKN1A,CDK46_inhibitors,0.005404950585216284,0.006367896828386519,0.8486478476344798,-0.21699123600099124,0.5853908963939891
