DRUG_ID,DRUG_NAME,smiles,cancer_type,seed_drug,mw,logp,qed,tanimoto_to_seed,mean_vh_fp_original,mean_vh_fp,mean_vh_proxy,nn_tanimoto,nn_drug_name,nn_local_idx,nn_has_kg,seed_vh_fp,seed_vh_proxy,seed_nn_drug_name,seed_nn_tanimoto,delta_fp,improved_fp,delta_proxy_fair,improved_proxy_fair
90179,erlotinib_analogue_0179,CO[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,TCGA-LUAD,erlotinib,148.16,-0.901,0.5056,0.081967213114754,0.501463,0.501463,0.487641,0.255814,doxifluridine,911,True,0.494369,0.47028,erlotinib,1.0,-0.007094,False,-0.017361,False
90290,erlotinib_analogue_0290,C#Cc1cccc(-c2c[nH]c3ccccc23)c1,TCGA-LUAD,erlotinib,217.27,3.816,0.5964,0.234375,0.500399,0.500398,0.488272,0.253968,tivantinib,616,True,0.494369,0.47028,erlotinib,1.0,-0.006029,False,-0.017993,False
90064,erlotinib_analogue_0064,COc1ccc(I)cc1F,TCGA-LUAD,erlotinib,252.03,2.439,0.6973,0.1311475409836065,0.49851,0.49851,0.488395,0.316667,refametinib,1271,True,0.494369,0.47028,erlotinib,1.0,-0.004141,False,-0.018116,False
90189,erlotinib_analogue_0189,C#Cc1cccc([C@H]2CCCNC2)c1,TCGA-LUAD,erlotinib,185.27,2.135,0.6609,0.2153846153846154,0.500429,0.500429,0.48841,0.355932,niraparib,878,True,0.494369,0.47028,erlotinib,1.0,-0.00606,False,-0.018131,False
90257,erlotinib_analogue_0257,C#Cc1cccc([C@@H]2CCCNC2)c1,TCGA-LUAD,erlotinib,185.27,2.135,0.6609,0.2153846153846154,0.500429,0.500429,0.48841,0.355932,niraparib,878,True,0.494369,0.47028,erlotinib,1.0,-0.00606,False,-0.018131,False
90018,erlotinib_analogue_0018,CO[C@@]12OC(C)(C)O[C@@H]1CC1C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,TCGA-LUAD,erlotinib,406.49,3.461,0.7225,0.0618556701030927,0.510213,0.510213,0.48842,0.691176,triamcinolone-acetonide,182,True,0.494369,0.47028,erlotinib,1.0,-0.015843,False,-0.018141,False
90212,erlotinib_analogue_0212,C#Cc1cccc([C@@]23OC(C)(C)O[C@@H]2CC2C4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@@]23C)c1,TCGA-LUAD,erlotinib,476.59,4.995,0.5802,0.1616161616161616,0.509587,0.509587,0.488624,0.5875,triamcinolone-acetonide,182,True,0.494369,0.47028,erlotinib,1.0,-0.015218,False,-0.018345,False
90146,erlotinib_analogue_0146,CO[C@@H]1O[C@@H]2CO[C@@H](C)O[C@H]2[C@H](O)[C@H]1O,TCGA-LUAD,erlotinib,220.22,-1.159,0.5802,0.0555555555555555,0.500161,0.500161,0.488644,0.376812,etoposide,673,True,0.494369,0.47028,erlotinib,1.0,-0.005792,False,-0.018364,False
90161,erlotinib_analogue_0161,O=c1[nH]nc(-c2n[nH]c(=O)c3ccccc23)c2ccccc12,TCGA-LUAD,erlotinib,290.28,1.827,0.5592,0.0967741935483871,0.499708,0.499708,0.488818,0.293103,olaparib,219,True,0.494369,0.47028,erlotinib,1.0,-0.005338,False,-0.018539,False
90086,erlotinib_analogue_0086,COc1nc(N)nc(N)n1,TCGA-LUAD,erlotinib,141.13,-0.955,0.5223,0.0862068965517241,0.499283,0.499283,0.489188,0.22,BIIB021,843,True,0.494369,0.47028,erlotinib,1.0,-0.004913,False,-0.018908,False
90003,erlotinib_analogue_0003,COC12CC3CC(CC(O)(C3)C1)C2,TCGA-LUAD,erlotinib,182.26,1.716,0.6687,0.044776119402985,0.502085,0.502085,0.489327,0.269231,saxagliptin,168,True,0.494369,0.47028,erlotinib,1.0,-0.007716,False,-0.019047,False
90142,erlotinib_analogue_0142,COc1ncnc2[nH]ccc12,TCGA-LUAD,erlotinib,149.15,0.966,0.6567,0.1967213114754098,0.498617,0.498617,0.489332,0.313726,Y-39983,898,True,0.494369,0.47028,erlotinib,1.0,-0.004248,False,-0.019052,False
90362,erlotinib_analogue_0362,C#Cc1cccc([C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c1,TCGA-LUAD,erlotinib,290.31,0.591,0.7411,0.2027027027027027,0.500024,0.500024,0.489402,0.301205,etoposide,673,True,0.494369,0.47028,erlotinib,1.0,-0.005654,False,-0.019123,False
90336,erlotinib_analogue_0336,C#Cc1cccc(N2CCOC[C@@H]2C)c1,TCGA-LUAD,erlotinib,201.27,1.893,0.6433,0.2238805970149253,0.500115,0.500115,0.489448,0.338235,AZD2014,1414,True,0.494369,0.47028,erlotinib,1.0,-0.005746,False,-0.019168,False
90143,erlotinib_analogue_0143,c1nc(-c2ncnc3[nH]ccc23)c2cc[nH]c2n1,TCGA-LUAD,erlotinib,236.24,1.896,0.5284,0.1525423728813559,0.497654,0.497654,0.489504,0.384615,ruxolitinib,865,True,0.494369,0.47028,erlotinib,1.0,-0.003285,False,-0.019224,False
90387,erlotinib_analogue_0387,C#Cc1cccc(-c2n[nH]c(=O)c3ccccc23)c1,TCGA-LUAD,erlotinib,246.27,2.571,0.6706,0.2461538461538461,0.500331,0.500331,0.489828,0.275362,olaparib,219,True,0.494369,0.47028,erlotinib,1.0,-0.005962,False,-0.019548,False
90002,erlotinib_analogue_0002,CCCC(CCC)C(=O)OC,TCGA-LUAD,erlotinib,158.24,2.376,0.5741,0.1,0.498798,0.498798,0.489965,0.236842,butamben,554,True,0.494369,0.47028,erlotinib,1.0,-0.004428,False,-0.019686,False
90028,erlotinib_analogue_0028,COc1ccc(S(C)(=O)=O)cc1,TCGA-LUAD,erlotinib,186.23,1.099,0.6942,0.0983606557377049,0.500263,0.500263,0.490037,0.333333,ABT-751,1335,True,0.494369,0.47028,erlotinib,1.0,-0.005893,False,-0.019758,False
