DRUG_ID,DRUG_NAME,n_genes_tested,max_abs_delta,mean_abs_delta,top5_genes,n_known_targets
1941,Sepantronium bromide,79,0.015551635064184666,0.004355073605864485,RPS28P7|TCEAL4|CDKN1A|OSBPL10|DBNDD1,0
2171,BMS-754807,79,0.015314138494431973,0.003995359136982337,TCEAL4|FADS1|RPS28P7|ITM2C|IL4R,0
1031,Elesclomol,79,0.015215477906167507,0.003222802515389233,RPS28P7|IL4R|CDKN2C|FADS1|TCEAL4,0
1032,Afatinib,79,0.015076098032295704,0.002904600797580626,ERBB2|RPS28P7|CHCHD10|DBNDD1|ITM2C,0
1179,MK-1775,79,0.015052204951643944,0.003327437001575209,CDKN2C|TCEAL4|IL4R|RPS28P7|FADS1,0
1917,AZD6738,79,0.01481147762387991,0.003127341528564597,CDKN2C|TCEAL4|FADS1|CHCHD10|RPS28P7,0
1091,BMS-536924,79,0.014781870879232883,0.003345281797125228,MYC|IL4R|RPS28P7|FADS1|CDKN1A,0
1930,Telomerase Inhibitor IX,79,0.014601248316466808,0.0029881504214003306,RPS28P7|IL4R|ITM2C|CHCHD10|CDKN2C,0
1059,AZD8055,79,0.014524547383189201,0.0031308392217512465,RPS28P7|FADS1|CDKN2C|CHCHD10|GFOD3P,0
1401,AZD5438,79,0.014076801016926765,0.0023827511254297215,RPS28P7|IL4R|CHCHD10|FADS1|ITM2C,0
1739,JAK_8517,79,0.014042651280760765,0.003049815896621469,IL4R|RPS28P7|CDKN1A|TCEAL4|MYC,0
1912,Afuresertib,79,0.014021161012351513,0.003144906090330804,CDKN2C|RPS28P7|TCEAL4|CHCHD10|ITM2C,0
1613,VE-822,79,0.01400312501937151,0.0023505773757808383,FADS1|TCEAL4|CDKN2C|IL4R|CHCHD10,0
2106,Uprosertib,79,0.01389123685657978,0.0032343490718262672,CDKN2C|RPS28P7|TCEAL4|ITM2C|CHCHD10,0
1372,Trametinib,79,0.013711412437260151,0.0035165946214471624,CDKN1A|RPS28P7|MYC|CHCHD10|TCEAL4,0
1005,Cisplatin,79,0.013514887541532516,0.0022843971655444727,CDKN1A|RPS28P7|ITM2C|CLIP3|CHCHD10,0
1561,Taselisib,79,0.013049350120127201,0.0038276387885495832,CDKN2C|GFOD3P|RPS28P7|FADS1|MET,0
1730,PAK_5339,79,0.013021481223404408,0.0026161248215085153,IL4R|CDKN1A|ETV5|RPS28P7|ITM2C,0
1713,ERK_2440,79,0.012868408113718033,0.002551177365902835,CDKN1A|RPS28P7|CHCHD10|MYC|ITM2C,0
1046,Wee1 Inhibitor,79,0.01283517200499773,0.0026439959927509198,CDKN2C|IL4R|TCEAL4|RPS28P7|CHCHD10,0
1089,Oxaliplatin,79,0.012784727849066257,0.0018541965787623172,CDKN1A|RPS28P7|IL4R|CLIP3|CHCHD10,0
1053,MK-2206,79,0.012770457193255424,0.0027065384231177688,CDKN2C|FADS1|RPS28P7|ITM2C|CHCHD10,0
1624,I-BET-762,79,0.012769674882292747,0.002699152306400098,MYC|FADS1|GFOD3P|ITM2C|CDKN1A,0
1428,IAP_5620,79,0.01266037579625845,0.0022739993192438224,ITM2C|CDKN1A|RPS28P7|MYC|IL4R,0
2040,Foretinib,79,0.012556195259094238,0.0032580670019423095,RPS28P7|TCEAL4|CDKN2C|CDKN1A|IL4R,0
1799,Ibrutinib,79,0.012517918832600117,0.0025233668695156804,ERBB2|CDKN1A|RPS28P7|ITM2C|CHCHD10,0
1804,Acetalax,79,0.012370622716844082,0.003891243002542495,RPS28P7|TCEAL4|IL4R|CHCHD10|MGMT,0
1239,YK-4-279,79,0.01230884250253439,0.002912446493990248,RPS28P7|IL4R|CHCHD10|CDKN2C|ERBB2,0
1593,Entinostat,79,0.01227619219571352,0.0032267791087904215,FADS1|ITM2C|CHCHD10|MYC|CDKN2C,0
1997,WEHI-539,79,0.01215317938476801,0.0028682261752554132,RPS28P7|MYC|ETV5|IL4R|CHCHD10,0
1549,Sapitinib,79,0.012050853110849857,0.0024553673508388428,ERBB2|CHCHD10|RPS28P7|ITM2C|DBNDD1,0
1058,Pictilisib,79,0.012015681713819504,0.0030762831742368354,CDKN2C|RPS28P7|FADS1|CHCHD10|ITM2C,0
2046,MK-8776,79,0.011908373795449734,0.0024197715978562548,TCEAL4|CDKN2C|RPS28P7|ERBB2|IL4R,0
1909,Venetoclax,79,0.011903966777026653,0.0025943312012955922,CHCHD10|RPS28P7|BCL2|CDKN1A|ITM2C,1
2148,POMHEX,79,0.011754793114960194,0.002545483971804475,RPS28P7|CDKN2C|IL4R|CDKN1A|OAF,0
1096,Tozasertib,79,0.011704645119607449,0.002916163598744293,TCEAL4|RPS28P7|IL4R|CDKN2C|ERBB2,0
1825,Podophyllotoxin bromide,79,0.011617841199040413,0.002815154510037384,RPS28P7|IL4R|CDKN2C|ERBB2|CDKN1A,0
1873,Buparlisib,79,0.011569379828870296,0.002318062305986834,RPS28P7|CDKN2C|ITM2C|MAPK13|FADS1,0
