gene_name,DRUG_ID,DRUG_NAME,n_test_cells,mean_delta_auc,std_delta_auc,abs_mean_delta,frac_positive,is_known_target
FBXO27,1003,Camptothecin,189,0.0008214034023694694,0.0019171813037246466,0.00163899059407413,0.6613756613756614,False
FBXO27,1004,Vinblastine,145,-0.0006014338578097522,0.002586998278275132,0.0020560326520353556,0.4068965517241379,False
FBXO27,1005,Cisplatin,150,0.0011067938758060336,0.0014574715169146657,0.0014834626344963908,0.7466666666666667,False
FBXO27,1006,Cytarabine,145,-9.771667464519851e-06,0.0020250407978892326,0.0015495889820158482,0.5724137931034483,False
FBXO27,1007,Docetaxel,190,0.0004221724811941385,0.0018203556537628174,0.0014422002714127302,0.6210526315789474,False
FBXO27,1008,Methotrexate,173,0.0007218132959678769,0.0035800111945718527,0.0026755693834275007,0.6184971098265896,False
FBXO27,1009,Tretinoin,44,0.0004019520420115441,0.0010580457746982574,0.0008893500780686736,0.6363636363636364,False
FBXO27,1010,Gefitinib,186,0.0008203006000258029,0.001390840276144445,0.001204473664984107,0.6505376344086021,False
FBXO27,1011,Navitoclax,190,0.0022351916413754225,0.0027896957471966743,0.0026715905405580997,0.8210526315789474,False
FBXO27,1012,Vorinostat,187,0.0020338098984211683,0.0019482190255075693,0.0022991213481873274,0.8288770053475936,False
FBXO27,1013,Nilotinib,185,-6.320492684608325e-05,0.0014889835147187114,0.0011543739819899201,0.4972972972972973,False
FBXO27,1014,Refametinib,189,-0.0032681473530828953,0.004453909583389759,0.0035966255236417055,0.1746031746031746,False
FBXO27,1016,Temsirolimus,180,0.0014088915195316076,0.001688856165856123,0.0017742044292390347,0.8555555555555555,False
FBXO27,1017,Olaparib,189,0.0013563125394284725,0.0014292303239926696,0.0015697021735832095,0.7883597883597884,False
FBXO27,1018,Veliparib,189,0.0004587309085763991,0.0009558990714140236,0.0008383235544897616,0.6296296296296297,False
FBXO27,1019,Bosutinib,189,0.0010482873767614365,0.0014840177027508616,0.0013921645004302263,0.7566137566137566,False
FBXO27,1020,Lenalidomide,189,0.0007184305577538908,0.0011062907287850976,0.0010347918141633272,0.671957671957672,False
FBXO27,1021,Axitinib,189,-0.001140282372944057,0.002104028593748808,0.0018057364504784346,0.37566137566137564,False
FBXO27,1022,AZD7762,187,0.00444382568821311,0.0032907386776059866,0.004671748261898756,0.9251336898395722,False
FBXO27,1023,GW441756,186,0.0007618492818437517,0.0012464856263250113,0.0011561019346117973,0.6720430107526881,False
FBXO27,1024,Lestaurtinib,187,-0.0004673577786888927,0.0023272193502634764,0.0019257699605077505,0.46524064171123,False
FBXO27,1025,SB216763,187,0.0008622608729638159,0.0012052987003698945,0.0011539169354364276,0.7058823529411765,False
FBXO27,1026,Tanespimycin,189,3.2540192478336394e-05,0.0018133311532437801,0.0014317510649561882,0.5291005291005291,False
FBXO27,1029,Motesanib,189,0.0006074028788134456,0.0010127966525033116,0.0009212771547026932,0.6825396825396826,False
FBXO27,1030,KU-55933,187,0.0009498067083768547,0.0010874405270442367,0.0011453914921730757,0.7914438502673797,False
FBXO27,1031,Elesclomol,44,0.0008466040599159896,0.0018228612607344985,0.0016498659970238805,0.7045454545454546,False
FBXO27,1032,Afatinib,188,0.0034392280504107475,0.0026847748085856438,0.0034997076727449894,0.9414893617021277,False
FBXO27,1033,Vismodegib,189,0.00029009138233959675,0.0010543124517425895,0.0008848296711221337,0.544973544973545,False
FBXO27,1034,Staurosporine,190,-0.0036555761471390724,0.003502887673676014,0.004252075683325529,0.14210526315789473,False
FBXO27,1036,PLX-4720,186,-0.00019536912441253662,0.0019379333825781941,0.0012754789786413312,0.5,False
FBXO27,1037,BX795,44,-0.0006818432593718171,0.0016345969634130597,0.0012091899989172816,0.4090909090909091,False
FBXO27,1038,NU7441,189,0.0009588857647031546,0.0013523800298571587,0.0013205623254179955,0.7619047619047619,False
FBXO27,1039,SL0101,44,0.0006594644510187209,0.0010449955007061362,0.0009499259758740664,0.7045454545454546,False
FBXO27,1042,Doramapimod,187,0.00039071578066796064,0.0010120129445567727,0.0008465689024887979,0.6042780748663101,False
FBXO27,1043,JNK Inhibitor VIII,184,0.000685239618178457,0.0011009137379005551,0.0010278542758896947,0.6521739130434783,False
FBXO27,1046,Wee1 Inhibitor,186,0.00088868523016572,0.0014787429245188832,0.0013908232795074582,0.7526881720430108,False
FBXO27,1047,Nutlin-3a (-),190,0.0008036895887926221,0.001135041005909443,0.001104789087548852,0.7210526315789474,False
FBXO27,1048,Mirin,170,0.0005783249507658184,0.0012759268283843994,0.0011511290213093162,0.7176470588235294,False
FBXO27,1049,PD173074,190,-0.00012632357538677752,0.001732715405523777,0.0014227108331397176,0.4631578947368421,False
FBXO27,1050,ZM447439,189,-0.0002452382759656757,0.0016073131700977683,0.0012095628771930933,0.4603174603174603,False
FBXO27,1051,Alisertib,184,-0.0023533806670457125,0.004291084595024586,0.0031765277963131666,0.33152173913043476,False
FBXO27,1052,RO-3306,187,1.0972354175464716e-05,0.0013631581095978618,0.001078095636330545,0.5668449197860963,False
FBXO27,1053,MK-2206,190,0.0011955260997638106,0.0017726009245961905,0.001692214165814221,0.7842105263157895,False
FBXO27,1054,Palbociclib,190,0.001108146971091628,0.0014615955296903849,0.001523620798252523,0.7842105263157895,False
FBXO27,1057,Dactolisib,186,0.0027148581575602293,0.00223923590965569,0.002919668797403574,0.8548387096774194,False
FBXO27,1058,Pictilisib,190,0.004854310303926468,0.00263979216106236,0.004872646648436785,0.9894736842105263,False
FBXO27,1059,AZD8055,147,0.002272442914545536,0.0020586682949215174,0.002543771406635642,0.8367346938775511,False
FBXO27,1060,PD0325901,189,-0.002186644123867154,0.003588395658880472,0.0026511577889323235,0.18518518518518517,False
FBXO27,1061,SB590885,189,8.173042442649603e-05,0.0019248937023803592,0.0013350448571145535,0.5343915343915344,False
FBXO27,1062,Selumetinib,189,-0.0015221075154840946,0.0034188581630587578,0.00212045363150537,0.30687830687830686,False
FBXO27,1067,CCT007093,186,0.000658334931358695,0.0011032220209017396,0.001023933757096529,0.6559139784946236,False
FBXO27,1068,Obatoclax Mesylate,151,0.001359298126772046,0.003061676397919655,0.0027602599002420902,0.6158940397350994,False
FBXO27,1069,EHT-1864,189,0.0007280558929778636,0.0010938162449747324,0.0010468524415045977,0.6772486772486772,False
FBXO27,1072,Avagacestat,189,0.0004925522953271866,0.001055557862855494,0.0009043957688845694,0.6190476190476191,False
FBXO27,1073,5-Fluorouracil,190,-0.0005048141465522349,0.0013421957846730947,0.0011192188831046224,0.3684210526315789,False
FBXO27,1079,Dasatinib,188,0.0024753406178206205,0.002763701369985938,0.0027039977721869946,0.8617021276595744,False
FBXO27,1080,Paclitaxel,186,-0.001767610665410757,0.002605997258797288,0.002231321297585964,0.1989247311827957,False
FBXO27,1083,Crizotinib,189,-1.6210728063015267e-05,0.0015164893120527267,0.0012405973393470049,0.5238095238095238,False
FBXO27,1084,Rapamycin,185,0.0008211311651393771,0.0014025013661012053,0.0012642614310607314,0.7297297297297297,False
