DRUG_NAME,kg_class,alpha_chembl,alpha_drkg,alpha_primekg
Fludarabine,ChEMBL+PrimeKG,0.4642865061759949,0.0,0.5357134938240051
Dinaciclib,ChEMBL-only,1.0,0.0,0.0
Docetaxel,ChEMBL+PrimeKG,0.44654086232185364,0.0,0.553459107875824
Doramapimod,ChEMBL+PrimeKG,0.4736664891242981,0.0,0.5263335108757019
Acetalax,ChEMBL+PrimeKG,0.48230433464050293,0.0,0.5176956653594971
Afatinib,PrimeKG-dominant,0.0,0.0,1.0
AZD2014,ChEMBL-only,1.0,0.0,0.0
BEN,PrimeKG-dominant,0.0,0.0,1.0
BI-2536,ChEMBL-only,1.0,0.0,0.0
AZD6482,ChEMBL-only,1.0,0.0,0.0
AZD6738,ChEMBL-only,1.0,0.0,0.0
AZD8186,ChEMBL-only,1.0,0.0,0.0
Alisertib,ChEMBL+PrimeKG,0.47632506489753723,0.0,0.5236749053001404
Alpelisib,ChEMBL+PrimeKG,0.4822259247303009,0.0,0.5177741050720215
Avagacestat,ChEMBL-only,1.0,0.0,0.0
Axitinib,ChEMBL+PrimeKG,0.4715578556060791,0.0,0.5284421443939209
Veliparib,ChEMBL+PrimeKG,0.4806910753250122,0.0,0.5193089246749878
Venetoclax,ChEMBL+PrimeKG,0.4970415532588959,0.0,0.502958357334137
Topotecan,ChEMBL+PrimeKG,0.46482157707214355,0.0,0.5351784229278564
Tozasertib,ChEMBL-only,1.0,0.0,0.0
Trametinib,ChEMBL+PrimeKG,0.4827268123626709,0.0,0.5172731876373291
Tretinoin,ChEMBL+PrimeKG,0.45030030608177185,0.0,0.5496997237205505
Staurosporine,PrimeKG-dominant,0.0,0.0,1.0
SN-38,ChEMBL+PrimeKG,0.47985130548477173,0.0,0.5201486945152283
Temozolomide,ChEMBL+PrimeKG,0.4460567831993103,0.0,0.5539432764053345
Temsirolimus,ChEMBL+PrimeKG,0.46777379512786865,0.0,0.5322262644767761
Teniposide,ChEMBL+PrimeKG,0.47490498423576355,0.0,0.5250950455665588
Selumetinib,ChEMBL+PrimeKG,0.48623695969581604,0.0,0.5137630701065063
Sorafenib,PrimeKG-dominant,0.0,0.0,1.0
Talazoparib,ChEMBL+PrimeKG,0.5069630146026611,0.0,0.4930369555950165
Tamoxifen,PrimeKG-dominant,0.0,0.0,1.0
Tanespimycin,ChEMBL+PrimeKG,0.47568050026893616,0.0,0.5243194699287415
Taselisib,ChEMBL-only,1.0,0.0,0.0
AZD1332,KG-silent,0.0,0.0,0.0
615590,KG-silent,0.0,0.0,0.0
630600,KG-silent,0.0,0.0,0.0
667880,KG-silent,0.0,0.0,0.0
WZ4003,KG-silent,0.0,0.0,0.0
Wee1 Inhibitor,KG-silent,0.0,0.0,0.0
VE821,KG-silent,0.0,0.0,0.0
VTP-A,KG-silent,0.0,0.0,0.0
VTP-B,KG-silent,0.0,0.0,0.0
5-azacytidine,KG-silent,0.0,0.0,0.0
AZD5582,KG-silent,0.0,0.0,0.0
AZD5991,KG-silent,0.0,0.0,0.0
Sepantronium bromide,KG-silent,0.0,0.0,0.0
Serdemetan,KG-silent,0.0,0.0,0.0
Sinularin,KG-silent,0.0,0.0,0.0
THR-101,KG-silent,0.0,0.0,0.0
TW 37,KG-silent,0.0,0.0,0.0
SGC-CBP30,KG-silent,0.0,0.0,0.0
SGC0946,KG-silent,0.0,0.0,0.0
SL0101,KG-silent,0.0,0.0,0.0
Sabutoclax,KG-silent,0.0,0.0,0.0
VX-11e,KG-silent,0.0,0.0,0.0
UMI-77,KG-silent,0.0,0.0,0.0
UNC0379,KG-silent,0.0,0.0,0.0
UNC0638,KG-silent,0.0,0.0,0.0
Ulixertinib,KG-silent,0.0,0.0,0.0
BDF00022089a,KG-silent,0.0,0.0,0.0
BDP-00009066,KG-silent,0.0,0.0,0.0
AZD7762,KG-silent,0.0,0.0,0.0
AZD8055,KG-silent,0.0,0.0,0.0
Afuresertib,KG-silent,0.0,0.0,0.0
AZD3759,KG-silent,0.0,0.0,0.0
AZD4547,KG-silent,0.0,0.0,0.0
