DRUG_NAME,alpha_chembl,alpha_drkg,alpha_primekg,alpha_total,kg_class,n_test_cells
Gemcitabine,0.46947556734085083,0.0,0.5305244326591492,1.0,ChEMBL+PrimeKG,188
Navitoclax,0.4819709062576294,0.0,0.5180290937423706,1.0,ChEMBL+PrimeKG,190
Nelarabine,0.4551596939563751,0.0,0.5448403358459473,1.0,ChEMBL+PrimeKG,132
Nilotinib,0.0,0.0,1.0,1.0,PrimeKG-dominant,185
Ibrutinib,0.4742588400840759,0.0,0.5257411599159241,1.0,ChEMBL+PrimeKG,168
Ipatasertib,1.0,0.0,0.0,1.0,ChEMBL-only,186
Irinotecan,0.46571895480155945,0.0,0.5342810153961182,1.0,ChEMBL+PrimeKG,187
ERK_2440,0.48362934589385986,0.0,0.5163705945014954,1.0,ChEMBL+PrimeKG,133
LGK974,1.0,0.0,0.0,1.0,ChEMBL-only,187
Epirubicin,0.45044857263565063,0.0,0.5495514273643494,1.0,ChEMBL+PrimeKG,186
Erlotinib,0.4636363983154297,0.0,0.5363636016845703,1.0,ChEMBL+PrimeKG,185
Fludarabine,0.4642865061759949,0.0,0.5357134938240051,1.0,ChEMBL+PrimeKG,132
Dinaciclib,1.0,0.0,0.0,1.0,ChEMBL-only,170
Docetaxel,0.44654086232185364,0.0,0.553459107875824,1.0,ChEMBL+PrimeKG,316
Doramapimod,0.4736664891242981,0.0,0.5263335108757019,1.0,ChEMBL+PrimeKG,187
Acetalax,0.48230433464050293,0.0,0.5176956653594971,1.0,ChEMBL+PrimeKG,264
Afatinib,0.0,0.0,1.0,1.0,PrimeKG-dominant,188
AZD2014,1.0,0.0,0.0,1.0,ChEMBL-only,133
BEN,0.0,0.0,1.0,1.0,PrimeKG-dominant,132
BI-2536,1.0,0.0,0.0,1.0,ChEMBL-only,182
AZD6482,1.0,0.0,0.0,1.0,ChEMBL-only,56
AZD6738,1.0,0.0,0.0,1.0,ChEMBL-only,186
AZD8186,1.0,0.0,0.0,1.0,ChEMBL-only,186
Alisertib,0.47632506489753723,0.0,0.5236749053001404,1.0,ChEMBL+PrimeKG,184
Alpelisib,0.4822259247303009,0.0,0.5177741050720215,1.0,ChEMBL+PrimeKG,187
Avagacestat,1.0,0.0,0.0,1.0,ChEMBL-only,189
Axitinib,0.4715578556060791,0.0,0.5284421443939209,1.0,ChEMBL+PrimeKG,189
Veliparib,0.4806910753250122,0.0,0.5193089246749878,1.0,ChEMBL+PrimeKG,189
Venetoclax,0.4970415532588959,0.0,0.502958357334137,1.0,ChEMBL+PrimeKG,186
Topotecan,0.46482157707214355,0.0,0.5351784229278564,1.0,ChEMBL+PrimeKG,132
Tozasertib,1.0,0.0,0.0,1.0,ChEMBL-only,56
Trametinib,0.4827268123626709,0.0,0.5172731876373291,1.0,ChEMBL+PrimeKG,189
Tretinoin,0.45030030608177185,0.0,0.5496997237205505,1.0,ChEMBL+PrimeKG,44
Staurosporine,0.0,0.0,1.0,1.0,PrimeKG-dominant,190
SN-38,0.47985130548477173,0.0,0.5201486945152283,1.0,ChEMBL+PrimeKG,188
